Vertice,C,254;Hoja_MTN,C,50;Situacion,C,254;Señal,C,254;Referencia,C,50;Referenc_1,C,50;Referenc_2,C,50;Referenc_3,C,50;X_ED50,N,19,11;Y_ED50,N,19,11;X_ETRS89,N,19,11;Y_ETRS89,N,19,11;Z_Ortometr,N,19,11;Altura,N,19,11;AzmVert1Vi,C,50;Nombre1Vis,C,50;AzmVert2Vi,C,50;Nombre2Vis,C,50;AzmVert3Vi,C,50;Nombre3Vis,C,50;AzmVert4Vi,C,50;Nombre4Vis,C,50;Año,N,9,0;Fecha,D
6518;559;En el bordillo de la esquina noreste de la acera de la union de la  C/ Poetas y C/ Cordel de Pavones, a la altura del nº 56 de esta última.;Clavo Reglamentario.;Señal trafico 7.42;Esquina arqueta 6.58;Farola 15.42;Señal trafico 10.22;447462,126;4472073,021;447352,64;4471865,435;676,313;727,361;;6516;;9124;;9125;;5617;2006;30/06/2006
6519;559;Empotrado en hormigón de pasarela sobre A-2. A la altura del pk 12+570. Junto al Restaurante Chino Or-Or. En el margen derecho de la calzada sentido Madrid.;Clavo Reglamentario.;Esquina pasarela 0.85;Esquina pasarela 1.20;Esquina pasarela 1.47;Poste de barandilla 0.71;452061,747;4478050,963;451952,335;4477843,327;600,046;651,073;;9223;;2585;;;;;2006;30/06/2006
6520;559;En la acera del puente sobre la M-40 en la salida a la Avd/ de la Albufera.;Clavo Reglamentario.;Normal a acera 0.53;normal a acara 0.49;Normal a valla 0.42;Normal a bionda 0.44;446224,791;4470900,837;446115,293;4470693,266;655,257;706,293;;9034;;2635;;6521;;;2006;30/06/2006
6521;559;En la esquina suroeste de una arqueta de  hormigon de alumbrado publico, situada al oeste de la M-40, a 10 m al norte del PK 16+300 y a 5 m de la bionda y a la altura de una señal de ceda el paso.;Clavo Reglamentario.;Esquina arqueta 0.65;Esquina arqueta 0.65;Señal trafico 2.59;Poste bionda 4.23;446451,416;4471363,42;446341,922;4471155,846;652,947;703,994;;6522;;1394;;6520;;;2006;30/06/2006
6522;559;En el bordillo de la acera del camino que da acceso a pasarela sobre M-40 a la altura del PK 17.;Clavo Reglamentario.;Esquina pasarela 0.47;Esquina bordillo 0.37;Esquina bordillo 1.78;Normal a bordillo 0.08;445772,666;4470328,516;445663,167;4470120,952;648,939;699,974;;2635;;6524;;;;;2006;30/06/2006
6523;559;En bordillo interior en la C/ Fernado Miralles, frente al parque.;Clavo Reglamentario.;Normal a bordillo interior 0.09;Normal a bordillo exterior 2.40;Poste alambrada 1.82;Poste alambrada 2.61;447247,197;4477863,202;447137,804;4477655,62;679,204;730,225;;335;;6249;;;;;2006;30/06/2006
6524;559;En el borde norte y exterior de la cuneta de hormigon de la M-40, a la altura del PK 17+900, junto a la verja del Parque Publico de Palomera, separados por un arcen de erial llano.;Clavo Reglamentario.;Señal trafico 15.16;Poste bionda 4.17;Poste bionda 3.51;Señal PK 17+900 0.29;445224,419;4470181,408;445114,923;4469973,852;636,193;687,23;;6523;;6525;;;;;2006;30/06/2006
6525;559;En el borde de la cuneta de la M-40, en la margen derecha dirección sur, en el PK 18+100.;Clavo Reglamentario.;Esquina arqueta 0.98;Esquina arqueta 1.09;Poste bionda 1.91;Poste bionda  4.47;444934,259;4470119,294;444824,764;4469911,743;628,672;679,709;;6524;;;;;;;2006;30/06/2006
6526;559;En bordillo en la intersección de las calles C/ Fernando Miralles y C/ Rodríguez Ayuso.;Clavo Reglamentario.;Farola 1.72;Registro de alumbrado 1.17;Señal 1.95;Esquina muro 1.89;447658,799;4477860,01;447549,403;4477652,424;669,266;720,287;;335;;1933;;;;;2006;30/06/2006
6527;559;En bordillo en la Avenida de Logroño, paralela a la N-II (Avenida de Arenica) cerca del cruce con la C/ del Estanoslado Gómez.;Clavo Reglamentario.;Farola 1.41;Registro de alumbrado 1.84;Normal a bordillo 0.07;Normal a muro 2.07;448271,274;4478088,225;448161,877;4477880,632;641,675;692,671;;1931;;336;;6604;;;2006;30/06/2006
6528;559;En la esquina este del cruce junto a la Junta Municipal del Distrito de San Blas, en el cruce entre la C/ Alcala y la C/ Torre Arias, a la altura del nº 590 de la C/ Alcala.;Clavo Reglamentario.;Semaforo 4.89;Esquina arqueta 1.18;Final barandilla 0.49;Señal trafico 2.54;448183,537;4477704,534;448074,136;4477496,941;641,613;692,628;;6529;;6022;;;;;2006;30/06/2006
